GEOID,GEOID11,16+_emp_rate,16+_uemp_rate,uemp_rate,med_hhinc,pop,pct_white,pct_black,pct_asian,pct_other,tol_hu,med_value,pct_noins,pct_poverty,city,metro,med_rent
1400000US06037229420,6037229420,56.6,3.3,5.6,36875,4942,39.3,9.4,0.1,51.2,150,348.1,17.7,36.8,,,1210
1400000US06037231100,6037231100,41.8,7,14.4,29226,3339,42.2,19.2,1.3,37.2,70,336.8,18.2,55,,,1023
1400000US06037231210,6037231210,54.9,7.2,11.7,27608,3516,26.1,19.7,0.9,53.4,80,353.4,18.5,35.7,,,966
1400000US06037231220,6037231220,51.3,6.6,11.4,28113,4671,33.2,21.8,5.1,39.9,90,455.9,22.4,28.3,,,1036
1400000US06037231300,6037231300,64,3.7,5.5,46767,5444,29.8,20.3,3.3,46.6,100,420.2,25.5,24.6,,,1197
1400000US06037231400,6037231400,62.7,4.5,6.7,38420,4656,26,31.1,1,41.9,100,492.2,16.9,21.8,,,1061
1400000US06037231500,6037231500,60.6,2.3,3.7,46472,5095,24.7,37.1,3.2,34.9,100,397.2,16.6,18.6,,,1165
1400000US06037231600,6037231600,56.3,5.5,8.9,41416,7278,25.9,31.5,1.2,41.4,150,474.6,16,24.6,,,1074
1400000US06037231710,6037231710,49.8,7.5,13.1,31099,3955,47.3,12.5,0.1,40.2,80,517,24.6,41.6,,,997
1400000US06037231720,6037231720,56.5,6.7,10.6,34436,4937,36.9,18.6,1.5,43,100,328.1,18.7,27.6,,,1062
1400000US06037231800,6037231800,59.4,5.1,7.9,33602,5080,44.1,8.3,0,47.6,100,376.9,23.3,41.9,,,1094
1400000US06037231900,6037231900,52.3,3.7,6.7,29982,5576,36.5,11.2,0.6,51.8,100,348.9,17.8,45.9,,,959
1400000US06037232110,6037232110,52.8,6.2,10.5,32266,2890,51.2,15.3,0.1,33.4,100,342.9,19.7,27.6,,,1070
1400000US06037232120,6037232120,54.4,6.2,10.2,36858,5987,43.6,17.1,2.6,36.8,100,353.2,17,26.3,,,1154
1400000US06037232200,6037232200,54.3,5.6,9.4,34273,3255,30,33.9,0.5,35.6,80,355.5,15.1,32.2,,,1093
