GEOID,GEOID11,16+_emp_rate,16+_uemp_rate,uemp_rate,med_hhinc,pop,pct_white,pct_black,pct_asian,pct_other,tol_hu,med_hvalue,pct_noins,pct_poverty
1400000US06037433602,06037433602,63.3 ,2.2,10.3 ,"60,848 ","3,294 ",58.3 ,0.8 ,8.3 ,32.6 ,800 ,380100,,8.4 
1400000US06037433700,06037433700,57.6 ,6,9.2 ,"37,057 ","6,197 ",49.2 ,0.7 ,6.3 ,43.8 ,"1,362 ",408600,,25.7 
1400000US06037433801,06037433801,59.3 ,8.6,3.4 ,"66,364 ","2,780 ",51.2 ,0.1 ,13.0 ,35.7 ,684 ,379100,,6.9 
1400000US06037433802,06037433802,58.2 ,7.3,9.4 ,"33,323 ","5,593 ",38.9 ,0.8 ,20.1 ,40.2 ,"1,285 ",364400,,28.1 
1400000US06037433901,06037433901,58.4 ,6.4,12.7 ,"38,472 ","3,780 ",53.6 ,0.3 ,8.9 ,37.2 ,907 ,372300,,16.9 
1400000US06037433902,06037433902,59.7 ,3.6,11.1 ,"47,599 ","4,395 ",44.0 ,1.0 ,9.1 ,45.9 ,"1,026 ",297400,,17.0 
1400000US06037434001,06037434001,60.1 ,3.8,9.9 ,"43,796 ","4,273 ",48.4 ,0.5 ,9.5 ,41.6 ,979 ,457600,,23.1 
1400000US06037434003,06037434003,60.4 ,5.7,5.6 ,"59,787 ","2,796 ",49.7 ,0.8 ,4.8 ,44.7 ,648 ,403300,,3.5 
1400000US06037434004,06037434004,68.1 ,5.5,5.9 ,"100,692 ","4,851 ",73.4 ,5.2 ,13.9 ,7.5 ,"1,862 ",767400,,1.4 
1400000US06037460000,06037460000,63.4 ,5,8.7 ,"101,836 ","5,793 ",72.9 ,13.1 ,6.2 ,7.8 ,"2,469 ",752700,,4.8 
1400000US06037460100,06037460100,63.9 ,4.3,7.4 ,"86,964 ","5,315 ",44.5 ,37.1 ,4.8 ,13.6 ,"2,178 ",629700,,5.0 
1400000US06037460200,06037460200,56.1 ,3,7.4 ,"93,706 ","4,638 ",43.1 ,35.5 ,4.9 ,16.5 ,"1,705 ",628700,,4.4 
1400000US06037460301,06037460301,55.1 ,3.2,6.3 ,"68,585 ","4,442 ",37.7 ,35.2 ,3.3 ,23.8 ,"1,426 ",493100,,15.1 
1400000US06037460302,06037460302,64.8 ,2.5,5.1 ,"85,040 ",878 ,32.0 ,40.4 ,10.8 ,16.8 ,319 ,661200,,11.7 
1400000US06037460401,06037460401,60.4 ,4,5.4 ,"130,037 ","5,418 ",66.6 ,0.5 ,28.2 ,4.7 ,"1,930 ","1,000,000+",,7.6 
1400000US06037460501,06037460501,55.2 ,2.3,3.8 ,"141,042 ","4,417 ",65.8 ,0.4 ,28.8 ,5.0 ,"1,499 ","1,000,000+",,2.5 
1400000US06037460502,06037460502,59.1 ,3.9,6.1 ,"125,625 ","4,511 ",75.2 ,0.4 ,19.6 ,4.8 ,"1,556 ","1,000,000+",,0.2 
1400000US06037460600,06037460600,55.3 ,7.1,4.0 ,"193,464 ","5,034 ",69.9 ,0.8 ,24.8 ,4.5 ,"1,740 ","1,000,000+",,1.8 
1400000US06037460700,06037460700,57.6 ,7.3,6.2 ,"184,904 ","3,248 ",78.2 ,2.6 ,13.2 ,6.0 ,"1,383 ","1,000,000+",,1.2 
1400000US06037460800,06037460800,57.8 ,5.9,11.4 ,"51,182 ","6,998 ",33.8 ,28.5 ,5.2 ,32.5 ,"2,091 ",514800,,7.4 
1400000US06037460900,06037460900,64.3 ,2.4,11.2 ,"54,735 ","6,243 ",27.8 ,32.0 ,3.3 ,36.9 ,"1,819 ",462600,,20.0 
1400000US06037461000,06037461000,55.7 ,3.1,9.3 ,"68,512 ","4,844 ",44.2 ,25.9 ,5.1 ,24.8 ,"1,751 ",611400,,8.9 
1400000US06037461100,06037461100,51.1 ,3.7,3.6 ,"120,750 ","4,443 ",74.9 ,9.9 ,6.5 ,8.7 ,"1,780 ",788200,,3.3 
1400000US06037461200,06037461200,56.8 ,9.1,5.3 ,"73,063 ","6,638 ",71.7 ,7.2 ,8.4 ,12.7 ,"2,623 ",657400,,11.4 
1400000US06037461300,06037461300,49.9 ,5.5,6.8 ,"53,464 ","3,204 ",65.8 ,9.8 ,9.8 ,14.6 ,"1,397 ",694000,,18.9 
1400000US06037461400,06037461400,57.3 ,4.3,13.8 ,"66,680 ","3,700 ",52.7 ,15.7 ,6.3 ,25.3 ,"1,396 ",475500,,14.9 
1400000US06037461501,06037461501,68.1 ,0.9,10.0 ,"47,667 ","6,563 ",41.7 ,20.8 ,4.2 ,33.3 ,"1,785 ",441300,,22.6 
1400000US06037461502,06037461502,53.4 ,7.2,7.0 ,"39,146 ","5,826 ",33.3 ,22.7 ,7.9 ,36.1 ,"1,775 ",489900,,20.6 
1400000US06037461600,06037461600,46.4 ,0,1.3 ,"111,875 ","1,385 ",66.7 ,19.8 ,6.9 ,6.6 ,705 ,696200,,4.1 
1400000US06037461700,06037461700,50.8 ,16.6,11.9 ,"36,265 ","5,118 ",41.0 ,12.4 ,6.3 ,40.3 ,"1,712 ",490700,,33.1 
1400000US06037461901,06037461901,59.8 ,5.8,0.0 ,"30,352 ","1,654 ",53.6 ,15.3 ,21.3 ,9.8 ,"1,285 ",496400,,41.5 
1400000US06037461902,06037461902,62.9 ,7.2,24.6 ,"42,943 ","3,974 ",39.2 ,17.3 ,4.1 ,39.4 ,"1,187 ",494100,,33.9 
1400000US06037462001,06037462001,51.5 ,4,8.9 ,"39,688 ","3,942 ",41.2 ,19.8 ,4.2 ,34.8 ,"1,145 ",582400,,23.0 
1400000US06037462002,06037462002,62.4 ,5.9,10.3 ,"41,447 ","5,259 ",49.2 ,14.4 ,4.9 ,31.5 ,"1,829 ",615900,,13.3 
1400000US06037462100,06037462100,65.9 ,3.3,7.3 ,"33,413 ","3,788 ",50.2 ,11.1 ,16.0 ,22.7 ,"1,953 ",375000,,22.2 
1400000US06037462201,06037462201,67.5 ,8.1,8.6 ,"54,236 ","2,928 ",53.4 ,6.4 ,32.6 ,7.6 ,"1,782 ",601900,,22.5 
1400000US06037462202,06037462202,61.9 ,6.4,4.8 ,"45,758 ","4,655 ",46.4 ,13.2 ,10.5 ,29.9 ,"1,976 ",476300,,16.0 
1400000US06037462301,06037462301,65.1 ,2,10.8 ,"62,027 ","2,972 ",46.1 ,9.8 ,26.2 ,17.9 ,"1,624 ",443800,,12.3 
1400000US06037462302,06037462302,60.4 ,4.2,9.4 ,"70,827 ","4,229 ",67.0 ,6.9 ,8.0 ,18.1 ,"1,657 ",643400,,9.8 
1400000US06037462400,06037462400,62.4 ,3.5,3.0 ,"85,426 ","6,039 ",75.1 ,4.0 ,10.7 ,10.2 ,"2,469 ",650100,,2.3 
1400000US06037462500,06037462500,65.8 ,6.8,6.5 ,"117,546 ","2,324 ",73.1 ,5.2 ,11.4 ,10.3 ,915 ,838500,,3.1 
1400000US06037462600,06037462600,62.6 ,2.1,5.4 ,"53,828 ","5,471 ",54.4 ,6.9 ,18.3 ,20.4 ,"2,338 ",540600,,8.8 
1400000US06037462700,06037462700,61.8 ,6,9.3 ,"61,818 ","2,915 ",58.4 ,9.2 ,15.1 ,17.3 ,"1,194 ",647100,,16.1 
1400000US06037462800,06037462800,58.4 ,5.1,3.2 ,"77,083 ","3,818 ",68.1 ,3.5 ,14.8 ,13.6 ,"1,437 ",634600,,7.2 
1400000US06037462900,06037462900,58.6 ,4.1,8.8 ,"94,722 ","2,228 ",64.6 ,5.5 ,22.0 ,7.9 ,997 ,733200,,10.5 
1400000US06037463000,06037463000,56.1 ,4.6,8.0 ,"65,089 ","2,383 ",52.9 ,3.2 ,24.3 ,19.6 ,924 ,555100,,3.0 
1400000US06037463101,06037463101,59.2 ,10,6.6 ,"71,000 ","3,779 ",51.3 ,2.8 ,26.8 ,19.1 ,"1,265 ",700000,,8.3 
1400000US06037463102,06037463102,70.1 ,4.8,7.6 ,"71,204 ","3,403 ",57.9 ,5.6 ,23.5 ,13.0 ,"1,521 ",795500,,8.3 
1400000US06037463200,06037463200,57.1 ,3.1,14.4 ,"79,643 ","2,041 ",65.9 ,3.1 ,21.5 ,9.5 ,961 ,750000,,8.3 
1400000US06037463300,06037463300,66.8 ,2.9,6.4 ,"77,453 ","5,752 ",58.1 ,6.6 ,22.3 ,13.0 ,"2,797 ",814600,,7.6 
1400000US06037463400,06037463400,71.7 ,5.7,5.2 ,"61,322 ","5,747 ",56.8 ,3.6 ,32.1 ,7.5 ,"3,042 ",456500,,12.5 
1400000US06037463500,06037463500,47.4 ,4.5,4.2 ,"65,880 ","5,714 ",58.3 ,5.1 ,26.3 ,10.3 ,"3,705 ",456600,,8.4 
1400000US06037463601,06037463601,54.4 ,5.1,7.4 ,"71,175 ","5,051 ",57.0 ,7.7 ,25.3 ,10.0 ,"3,376 ",535400,,12.3 
1400000US06037463602,06037463602,58.2 ,4.3,8.7 ,"133,750 ","2,236 ",75.4 ,3.9 ,13.1 ,7.6 ,"1,273 ",944000,,10.3 
1400000US06037463700,06037463700,70.6 ,2.8,8.5 ,"125,625 ","3,869 ",76.8 ,3.4 ,12.9 ,6.9 ,"1,704 ",871500,,2.9 
1400000US06037463800,06037463800,54.3 ,1.9,6.9 ,"100,063 ","3,456 ",77.5 ,4.8 ,10.3 ,7.4 ,"1,795 ",842600,,5.6 
1400000US06037463900,06037463900,53.6 ,2,3.8 ,"89,574 ","5,621 ",68.4 ,3.1 ,19.9 ,8.6 ,"2,806 ",869300,,10.1 
1400000US06037464000,06037464000,58.1 ,1.9,3.4 ,"171,786 ","7,210 ",49.4 ,0.6 ,44.6 ,5.4 ,"2,453 ","1,000,000+",,2.2 
1400000US06037464100,06037464100,61.6 ,4.4,3.7 ,"131,792 ","5,937 ",31.5 ,0.2 ,64.4 ,3.9 ,"2,024 ","1,000,000+",,4.9 
1400000US06037464200,06037464200,62.5 ,2.8,3.1 ,"120,063 ","3,453 ",39.1 ,0.8 ,50.9 ,9.2 ,"1,239 ",685600,,3.2 
1400000US06037480002,06037480002,60.8 ,2.6,6.6 ,"55,093 ","5,132 ",32.9 ,2.0 ,44.9 ,20.2 ,"1,874 ",573900,,11.5 
1400000US06037480011,06037480011,61.9 ,3.9,4.2 ,"54,651 ","4,763 ",30.7 ,1.4 ,56.3 ,11.6 ,"1,715 ",616200,,8.0 
1400000US06037480012,06037480012,65.4 ,4.3,4.1 ,"59,545 ","3,908 ",29.1 ,0.6 ,62.5 ,7.8 ,"1,302 ",611800,,8.3 
1400000US06037480101,06037480101,57.7 ,0.8,5.9 ,"85,086 ","4,303 ",32.1 ,1.7 ,53.6 ,12.6 ,"1,484 ",620000,,5.2 
